"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_0008270",0,0,0,0
"PVP01_0100800",348,201,246,324
"PVP01_1119600",941,644,1231,574
"PVP01_1021200",225,146,163,270
"PVP01_0903800",949,769,1113,996
"PVP01_0006690",0,0,0,0
"PVP01_1201900",34,31,53,33
"PVP01_1200100",2,1,1,0
"PVP01_0301500",16,12,17,31
"PVP01_1118300",31,22,32,0
"PVP01_0508700",55,26,88,68
"PVP01_1260800",854,1166,1133,1010
"PVP01_1104700",4,0,0,2
"PVP01_1432000",98,128,95,114
"PVP01_0801400",63,108,27,58
"PVP01_1025700",205,69,129,116
"PVP01_0944000",0,0,0,0
"PVP01_1417100",707,553,622,711
"PVP01_0408000",54,77,131,76
"PVP01_0006890",0,0,0,0
"PVP01_0009980",0,0,0,0
"PVP01_0114900",1113,1544,1113,1401
"PVP01_0805700",388,392,458,520
"PVP01_0946000",0,0,0,0
"PVP01_1142700",2136,2265,2142,2858
"PVP01_1231400",290,291,466,336
"PVP01_1401200",83,163,143,122
"PVP01_0009690",0,0,0,0
"PVP01_0711000",2880,3089,3434,3278
"PVP01_0500600",5,7,5,10
"PVP01_0825800",573,407,980,640
"PVP01_0002320",0,0,0,0
"PVP01_0917300",187,305,217,553
"PVP01_0840100",0,0,0,0
"PVP01_1468200",231,192,222,238
"PVP01_0730400",765,706,652,998
"PVP01_1467400",236,400,291,247
"PVP01_0932100",292,463,87,245
"PVP01_0513300",87,68,119,51
"PVP01_0912300",100,72,125,141
"PVP01_1338500",106,133,186,132
"PVP01_0115100",1446,937,1712,1302
"PVP01_0010420",0,0,0,0
"PVP01_0921400",1003,812,664,754
"PVP01_0113100",3290,4985,3774,4316
"PVP01_1222300",604,790,556,1115
"PVP01_1249500",15279,17001,17266,13421
"PVP01_0007970",0,0,0,0
"PVP01_1257700",139,88,157,155
"PVP01_0007860",0,0,0,0
"PVP01_1253200",56,37,21,32
"PVP01_0104400",14445,12909,13259,14258
"PVP01_0205400",850,748,561,861
"PVP01_0001970",0,0,0,0
"PVP01_0008520",0,0,0,0
"PVP01_0213500",924,657,619,738
"PVP01_0907200",0,1,2,1
"PVP01_0217000",624,363,564,738
"PVP01_1434900",188,182,264,150
"PVP01_1419900",205,168,113,177
"PVP01_0517100",3591,4176,2549,4182
